20211201T,0,5.45,84.27,0,10.28
20220301T,0,6.49,83.26,0,10.25
20220601T,0,6.31,83.14,0,10.55
20220901T,0,6.25,60.14,0,33.61
20221201T,0,6.26,59.99,0,33.75
20230301T,0,6.06,60.26,0,33.68
20230601T,0,4.84,61.03,0,34.12
20230901T,0,4.94,61.69,0,33.36
20231201T,0,5.57,61.13,0,33.31
20240301T,0,5.97,60.93,0,33.12
20240601T,0,6.27,60.67,0,33.08
20240901T,0,7.20,60.19,0,32.61
