20210901T,50.22,0.00,0,0,49.78
20211201T,49.41,0.09,0,0,50.51
20220301T,49.33,0.38,0,0,50.30
20220601T,49.24,0.44,0,0,50.31
20220901T,44.30,0.36,0,0,55.33
20221201T,44.26,0.36,0,0,55.37
20230301T,41.42,0.36,0,0,58.21
20230601T,41.33,0.42,0,0,58.26
20230901T,40.04,0.27,0,0,59.68
20231201T,39.72,0.27,0,0,60.02
20240301T,37.30,0.49,0,0,62.20
20240601T,37.59,0.93,0,0,61.47
